0,NOT_USED_1,"Service shutdown"
1,DAEMON_STOP,"Service shutdown"
2,FATAL_ERROR,"Fatal Error"
3,NO_POLICY,"No Policy file available"
4,PARSING_OPTIONS,"parameters option parsed"
5,NO_TAPECOPIES,"No tapecopy found"
6,TAPECOPIES_FOUND,"No migration candidate found"
7,NO_TAPEPOOLS,"No tapepool found"
8,NOT_ENOUGH,"not enough data to create streams"
9,NO_DRIVES,"no drive assigned to this service class"
10,POLICY_INPUT,"input to call the migration policy"
11,ALLOWED_WITHOUT_POLICY,"allowed without policy"
12,ALLOWED_BY_POLICY,"allowed by policy"
13,NOT_ALLOWED,"not allowed"
14,POLICY_RESULT,"summary of migration policy results"
15,ATTACHED_TAPECOPIES,"attaching tapecopies to streams"
16,DB_ERROR,"db error"
17,RESURRECT_TAPECOPIES,"resurrecting tapecopies"
18,INVALIDATE_TAPECOPIES,"invalidating tapecopies"
19,NS_ERROR,"Error retrieving the file stat from the nameserver"
20,NO_STREAM,"No stream found"
21,STREAMS_FOUND,"Streams found"
22,STREAM_INPUT,"input to call stream policy"
23,START_WITHOUT_POLICY,"started without policy"
24,START_BY_POLICY,"started by policy"
25,NOT_STARTED,"stopped"
26,STREAM_POLICY_RESULT,"summary of stream policy results"
27,STARTED_STREAMS,"stream started"
28,STOP_STREAMS,"stream stopped"
29,MIGHUNTER_FAILED_TO_START,"mighunterd failed to start"
30,FAILED_TO_APPLY_MIGRATION_POLICY,"Failed to apply migration policy, attaching tape copy"
31,FAILED_TO_APPLY_STREAM_POLICY,"Failed to apply stream policy, starting stream"
32,ALLOWED_BY_MIGRATION_POLICY,"Allowed by migration policy"
33,NOT_ALLOWED_BY_MIGRATION_POLICY,"Not allowed by migration policy"
34,ALLOWED_BY_STREAM_POLICY,"Allowed by stream policy"
35,NOT_ALLOWED_BY_STREAM_POLICY,"Not allowed by stream policy"
36,MIGRATION_POLICY_FUNCTION_NOT_IN_MODULE,"Migration-policy Python-function not in migration-policy Python-module"
37,STREAM_POLICY_FUNCTION_NOT_IN_MODULE,"Stream-policy Python-function not in stream-policy Python-module"
38,MIGRATION_POLICY_NOT_CONFIGURED,"Migration policy not configured"
39,STREAM_POLICY_NOT_CONFIGURED,"Stream policy not configured"
40,MIGHUNTERTHREAD_SKIPPING_SRVCCLASS,"MigHunter thread skipping service class because there are no candidate tape copies"
41,DAEMON_START,"mighunterd started"
